"id","text","createTime","authorMeta.id","authorMeta.name","authorMeta.nickName","authorMeta.following","authorMeta.fans","authorMeta.heart","authorMeta.video","authorMeta.digg","authorMeta.verified","authorMeta.private","authorMeta.signature","authorMeta.avatar","musicMeta.musicId","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","musicMeta.playUrl","covers.default","covers.origin","covers.dynamic","imageUrl","webVideoUrl","videoUrl","videoUrlNoWaterMark","videoMeta.width","videoMeta.height","videoMeta.ratio","videoMeta.duration","diggCount","shareCount","playCount","commentCount","downloaded","mentions","hashtags"
"6823118876339883269","she blocked me @darianka","1588631161","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6581196529334389510","Cooking by the book","psherman42wallaby",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1606737433850022.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/53f41fb5070fb713b6d641840c4e8375","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/66c7c8e558e64943a005553a5e373fe7_1588631162","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/7c521a1dbc9a4e31b8bbbcd7364e463f_1588631163","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/66c7c8e558e64943a005553a5e373fe7_1588631162","https://www.tiktok.com/@nickaustinn/video/6823118876339883269","https://v16.muscdn.com/c55b070c315747c64ca6ac1910f7924b/5eb1fb33/video/tos/useast2a/tos-useast2a-ve-0068c004/10eff9e125614a258cf6cbc33d9d4b5c/?a=1233&br=2114&bt=1057&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=M3k1Ozw2aXQ8dDMzZTczM0ApO2hkMzxlZWQzNzQzOjNlZWdkaGsvcmFsYGxfLS0uMTZzczBeNjM1XjAyXmJiLTMwYTE6Yw%3D%3D&vl=&vr=","",576,1024,14,14,950678,4240,3079160,14644,false,"[""@darianka""]","[]"
"6823102178639547653","every other week","1588627273","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6786062843121847046","F your opinion","sounds_xxx_uwu",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1656754711627813.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/357cb2a0a78d160f58f58e2fccc1fa8a","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/75a48fd911de4437bdf797d23113ba23_1588627275","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/a140aa7c7c5246f6bc0c88022a078133_1588627275","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/75a48fd911de4437bdf797d23113ba23_1588627275","https://www.tiktok.com/@nickaustinn/video/6823102178639547653","https://v16.muscdn.com/ae65e40cf3c319c1139c73185ffe2c6d/5eb1fb2e/video/tos/useast2a/tos-useast2a-pve-0068/f1e954bb2d3c438a9c1893ae60faeec1/?a=1233&br=4214&bt=2107&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=ajw5OGltdWg7dDMzZzczM0ApZzY2ZmY3Njs8N2k6aDU5ZWdybTNwNS5nYmxfLS1fMTZzczFjYDItYS1fLTZiNTM2XzU6Yw%3D%3D&vl=&vr=","",576,1024,9,9,345244,2221,1105294,4846,false,"[]","[]"
"6822805902286933253","hopefully your mom doesn’t have this app","1588558291","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6750731641922063109","original sound","fire.soundz0",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1648142196334597.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/322f32b6a54f49bda8d68eb87a8f4e6b","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/0a148a6dcc804f53ba0110a3d0c4eaf9_1588558293","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/76ab3b1bd4ae4c61a86365cf85b189fb_1588558293","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/0a148a6dcc804f53ba0110a3d0c4eaf9_1588558293","https://www.tiktok.com/@nickaustinn/video/6822805902286933253","https://v16.muscdn.com/21d6e0f5df67771428d850463fbaa7d2/5eb1fb2d/video/tos/useast2a/tos-useast2a-ve-0068c003/da381aa09b114258933865c75650fff9/?a=1233&br=2936&bt=1468&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=ajxmM3Q1bW1xdDMzOjczM0ApMzdkNDc0ZTxmNzY8OTw6NGc0MGxvcGBoZ2tfLS0yMTZzc2IuMDVhYy40Y18tX2MvYTU6Yw%3D%3D&vl=&vr=","",576,1024,8,8,556229,2581,1933469,11114,false,"[]","[]"
"6822793292023893254","😈","1588555355","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6813465229595249414","original sound","m_3dits",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1663445340249126.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/2724539330816888e1f26c8eb49d1d12","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/80eb79b423294490ba9f7841a0d34e89_1588555357","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/f32b1b95f1884c4fbe392d5be97d13ef_1588555358","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/80eb79b423294490ba9f7841a0d34e89_1588555357","https://www.tiktok.com/@nickaustinn/video/6822793292023893254","https://v16.muscdn.com/214d824f8293c67e1b6dcc5e1299c29d/5eb1fb30/video/tos/useast2a/tos-useast2a-ve-0068c004/821efbc2962841d4a425e0a368a37ea4/?a=1233&br=3008&bt=1504&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=M2p4Nnk6OGtwdDMzOTczM0ApZTgzNDg1Nzw5Nzk5NDw2NWdhazY1LmRncGtfLS0vMTZzczJjYDMvMzI1XzViY2FeMWI6Yw%3D%3D&vl=&vr=","",576,1024,11,11,332624,976,1069058,3665,false,"[]","[]"
"6822735028586319109","@tonylopez","1588541789","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6750731641922063109","original sound","fire.soundz0",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1648142196334597.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/a6b03a900cc30fa7076573bea94fe68d","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/b9336a3d3ecc44df8c13117e3bb6b449_1588541791","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/283960226d394e03a4cfe66e610cde3c_1588541792","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/b9336a3d3ecc44df8c13117e3bb6b449_1588541791","https://www.tiktok.com/@nickaustinn/video/6822735028586319109","https://v16.muscdn.com/fdfad1e7ebf873bc2804bb79312e5e6b/5eb1fb2d/video/tos/useast2a/tos-useast2a-ve-0068c004/d25bda7b266f4739b06d516df26fe297/?a=1233&br=5122&bt=2561&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=amo8b2Q2b25tdDMzODczM0ApODc2ZDQ2OTwzNzg1Njw0OmdoaHI1aTVuZmtfLS00MTZzczEvLTAwNDZeYTM2NTMwYTI6Yw%3D%3D&vl=&vr=","",576,1024,8,8,455932,2842,1411580,6736,false,"[""@tonylopez""]","[]"
"6822474984703659270","can i be on the remix? @jadenhossler","1588481244","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6822474911878007558","original sound","nickaustinn",true,"https://p16.muscdn.com/obj/musically-maliva-obj/09825f0e401e22185387129607005924.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/d19391b6ade1c54613bef7521d07eee8","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/6d33595e2d1e441990a4d62284a54ea6_1588481245","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/4bc21b82116a4503beb0c9aad3d5456b_1588481246","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/6d33595e2d1e441990a4d62284a54ea6_1588481245","https://www.tiktok.com/@nickaustinn/video/6822474984703659270","https://v16.muscdn.com/0d2618c66c1a9ea758121303a1de13a7/5eb1fb34/video/tos/useast2a/tos-useast2a-pve-0068/8059c209fb0348e4845e8b86c6f2109d/?a=1233&br=2862&bt=1431&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=amluZDozaW83dDMzOjczM0ApN2Y3NDVpPDs4NzozNTMzOWdiZl9tYTZrbWtfLS01MTZzcy4zYGE0Ly5iMmNhMzU0YzA6Yw%3D%3D&vl=&vr=","",576,1024,15,15,589371,4675,1906837,8396,false,"[""@jadenhossler""]","[]"
"6822345499631226118","take that L @tonylopez  @babygirlcorinne","1588451097","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6821555266149042950","original sound","babygirlcorinne",true,"https://p16.muscdn.com/obj/musically-maliva-obj/7b7e572b903b2679bd4089eda7420664.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/7c6015038bed41099bca28b5c05c5a4e","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/a8d9fd7a2fd3421293e2ca0575e37da6_1588451098","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/8ebd0e81f24f41248856bd1216bd21db_1588451098","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/a8d9fd7a2fd3421293e2ca0575e37da6_1588451098","https://www.tiktok.com/@nickaustinn/video/6822345499631226118","https://v16.muscdn.com/fcd4f834daaa6110be348b05e347b827/5eb1fb28/video/tos/useast2a/tos-useast2a-ve-0068c001/6629e6dea27748eb9d2ef5e27229a711/?a=1233&br=1940&bt=970&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=anlkaXV1dzh3dDMzNzczM0ApOmg2NWk6NTxnNzY7Omg2N2cwYWpxay0xYmpfLS0xMTZzczEyNl5eYzFiMGNeLTFfYS06Yw%3D%3D&vl=&vr=","",648,576,3,3,590509,764,2057484,4771,false,"[""@tonylopez"",""@babygirlcorinne""]","[]"
"6821960776924941574","happy birthday @charlidamelio !! miss you 😆","1588361519","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6821960765986081542","original sound","nickaustinn",true,"https://p16.muscdn.com/obj/musically-maliva-obj/a19ba9199e1bb2d7a16bcd20ebd58397.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/5e89a37bbe21476db5555f42970fe957","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/e5f4959a3b6e447e8f3b9bac1ef7a5ad_1588361523","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/15761d447cbe4acc82a964c531f2a14b_1588361523","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/e5f4959a3b6e447e8f3b9bac1ef7a5ad_1588361523","https://www.tiktok.com/@nickaustinn/video/6821960776924941574","https://v16.muscdn.com/9724ab5e40ffcceb2e999f0354150f10/5eb1fb2c/video/tos/useast2a/tos-useast2a-ve-0068c003/e694c5c46b384c36b778672224cf5884/?a=1233&br=3248&bt=1624&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=M3A1a2VqOTw6dDMzNzczM0ApZzs5NjRpOTs3NzdmPDRkZWdlZGo1ZV5eZmpfLS00MTZzcy9fNDRjMDMxLTIzYjViNWM6Yw%3D%3D&vl=&vr=","",576,1024,7,7,1292379,2310,3672284,11522,false,"[""@charlidamelio""]","[]"
"6821653051900808453","","1588289872","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6787567907577530370","Mariposa","Peach Tree Rascals","","https://sf16-sg.muscdn.com/obj/tos-alisg-v-0000/02ad575212724bd48f00d0be83ce3552","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/8f63a8e09a8130a8b9b06687f50daaca","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/d0172101dcfe47afb88130d1e75dd43d_1588289874","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/97d7fe0c09f743718763b3f01e04b3a6_1588289874","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/d0172101dcfe47afb88130d1e75dd43d_1588289874","https://www.tiktok.com/@nickaustinn/video/6821653051900808453","https://v16.muscdn.com/d026d539000f0708b178f57d823d7e50/5eb1fb34/video/tos/useast2a/tos-useast2a-pve-0068/2445a49f2c1944268768a65b22c0e4b9/?a=1233&br=1614&bt=807&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=M21lO3V3NXhwdDMzaDczM0ApNWc4ZTY0OWU4N2RlOzRnNWdncF5ea2U1LWlfLS00MTZzc2MvNjAwLmNeNjYvNF8zNmE6Yw%3D%3D&vl=&vr=","",576,1024,15,15,581737,2533,2220352,5668,false,"[]","[]"
"6821623895112600837","@tonylopez had to teach me this for the one time","1588283083","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6815312113767123718","Lpb Poody - Address It","bebesita.vina",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1663895315342390.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/5095ed9be52b2106de2850075a6a5ea5","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/7ff01c8a37d14950ad9eea4929a9e17e_1588283086","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/e0a492d803e749808724fec79c48c81b_1588283085","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/7ff01c8a37d14950ad9eea4929a9e17e_1588283086","https://www.tiktok.com/@nickaustinn/video/6821623895112600837","https://v16.muscdn.com/a1d756840e93ccda37ee18d5405d2ee4/5eb1fb2f/video/tos/useast2a/tos-useast2a-ve-0068c004/9d717e71c59b46f58ec405ec49d79c56/?a=1233&br=3920&bt=1960&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=M2ZlZnlvbmtudDMzNjczM0ApNDw6ODQ1aDw0N2hkZmZkN2dwYzVecnM0YWlfLS1iMTZzcy0zXzMtMy8zMzQyLTNeY2A6Yw%3D%3D&vl=&vr=","",576,1024,10,10,933887,4681,3661452,7163,false,"[""@tonylopez""]","[]"
"6820958626711162118","thank you guys for 5 million i love you all sm❤️❤️🥺","1588128189","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6813465229595249414","original sound","m_3dits",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1663445340249126.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/c5373f3916e14e33a2f41e100d506107","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/a787c87aaff040b799ab78e4a1167f77_1588128191","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/f97341f525e84402944380e6205d56c0_1588128192","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/a787c87aaff040b799ab78e4a1167f77_1588128191","https://www.tiktok.com/@nickaustinn/video/6820958626711162118","https://v16.muscdn.com/967b87da4fbcb2e440f2075807ae6fa4/5eb1fb30/video/tos/useast2a/tos-useast2a-pve-0068/5cfda93e69b842df95d9a0d24061a19f/?a=1233&br=2782&bt=1391&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=M240N2o6bjpodDMzaTczM0ApOGg3aTNkNGRlNzQ3NjtmN2cybmRgX2UwZ2hfLS1fMTZzcy9gLS0tLWIuLzBfNTBiXjM6Yw%3D%3D&vl=&vr=","",576,1024,11,11,381022,3068,1644387,7027,false,"[]","[]"
"6820929562386369797","i’m not high just a crack head 😝","1588121421","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6820929520430861062","original sound","nickaustinn",true,"https://p16.muscdn.com/obj/musically-maliva-obj/46da308bd887d690c7b4b135c493ac41.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/0ea65d74865835829703c5798b040c28","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/f5fcd0886e8f41bf87eb2ec1a6f966e3_1588121425","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/c3091eeff482475fb6ada75157afb76e_1588121424","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/f5fcd0886e8f41bf87eb2ec1a6f966e3_1588121425","https://www.tiktok.com/@nickaustinn/video/6820929562386369797","https://v16.muscdn.com/b79772b51f2235b8779407949d5ef865/5eb1fb60/video/tos/useast2a/tos-useast2a-ve-0068c004/21eb884226814a188496ee9deb2700f1/?a=1233&br=3036&bt=1518&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=M3VwbGtwNmZmdDMzODczM0ApZmk8NDs3ZDs6NzM4ZjplZGdhYV5eZG81Z2hfLS0xMTZzc14yYDJiYV9jNTVgNjRiMWI6Yw%3D%3D&vl=&vr=","",576,1024,59,59,421954,1718,1578349,4132,false,"[]","[]"
"6820586236395261189","beach boi","1588041485","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","180563944233877504","original sound","muzerradio",true,"https://mpak-suse1.muscdn.com/reg02/original_track/2017/01/03/05/2e22bf75-a98c-45c7-ba68-655bdd6a72dd.m4a","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/5085ed50d9544062bd714747bbe478cd","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/ca7b8899f3a84e71ac96d094c9f24680_1588041487","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/6f2b9d5633a8496aab0a775a3f4cf722_1588041487","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/ca7b8899f3a84e71ac96d094c9f24680_1588041487","https://www.tiktok.com/@nickaustinn/video/6820586236395261189","https://v16.muscdn.com/3ea2c75aedb9cf68e1d4376257fc1298/5eb1fb2a/video/tos/useast2a/tos-useast2a-ve-0068c001/2ceec2ef1b194429b24f0b2980bd8025/?a=1233&br=2732&bt=1366&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=M2plc3I1bjRzdDMzODczM0ApMzM4aDZpMzw5Nzg7NjtlaWdvMnJxZDNtYmdfLS1iMTZzczQzMDNhYzJfYGItL2E0NWA6Yw%3D%3D&vl=&vr=","",576,1024,5,5,698264,7775,2491681,8706,false,"[]","[]"
"6820572064626330886","jerk 😡","1588038185","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6694618934974466821","original sound","woah.carlos",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1634445213632534.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/9fd629260eac45209f00fc77bfb3a604","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/0d07b04ef2b14322ad25f45209a4cfa2_1588038187","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/13aead7bcaa1458b966c09fe6e07c8ab_1588038188","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/0d07b04ef2b14322ad25f45209a4cfa2_1588038187","https://www.tiktok.com/@nickaustinn/video/6820572064626330886","https://v16.muscdn.com/590898caa56c7209fd6f3dca1d7c5e63/5eb1fb2f/video/tos/useast2a/tos-useast2a-ve-0068c001/2b8fb246e04b4c52b946d5fde40c516d/?a=1233&br=1914&bt=957&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=anc6NGZoZztydDMzODczM0ApNWY4PGZmZWVoNzk3Zzk3OGdiaGwvNmJjaGdfLS0uMTZzc2AxNDVgX2M0XjIyXy1fNTY6Yw%3D%3D&vl=&vr=","",576,1024,10,10,459086,2967,1774246,4639,false,"[]","[]"
"6820531582655352069","jus jokes","1588028759","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6795244614417713926","Trap Sax","Nish",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1659007893300230.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/eef4a19dbd25213d977b47cfbde62d47","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/ef0ef50920244d728e7fc8d20c25ca3f_1588028761","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/3002ed5ba6d5434aa19bd316516151d6_1588028762","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/ef0ef50920244d728e7fc8d20c25ca3f_1588028761","https://www.tiktok.com/@nickaustinn/video/6820531582655352069","https://v16.muscdn.com/7ba4ba717d563584305dfd52f6e8ab04/5eb1fb2e/video/tos/useast2a/tos-useast2a-ve-0068c003/1d13c2400fe94e2c8b80dbaf3bf2d393/?a=1233&br=3830&bt=1915&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=M3R3NzQ2aW1wdDMzODczM0ApZTU5ODU7NTs6N2U7M2Y3NmczNW9icmFkXmdfLS0xMTZzc2A0MDMwLjYyXzI1Yl9eYV86Yw%3D%3D&vl=&vr=","",576,1024,9,9,691707,5066,2884645,5757,false,"[]","[]"
"6820269923617492229","this is harder than highschool... wait i didn’t finish high school","1587967838","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6820269721804344069","original sound","nickaustinn",true,"https://p16.muscdn.com/obj/musically-maliva-obj/c24dd1e9fe2d6e684a93d048f8a96fc6.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/45b07d19896b4384aa12664b5cec8535","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/bc4c619191d046ba82b3ce47362d9463_1587967841","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/d4be207df91c45a6927364f159f57055_1587967840","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/bc4c619191d046ba82b3ce47362d9463_1587967841","https://www.tiktok.com/@nickaustinn/video/6820269923617492229","https://v16.muscdn.com/38a933e449a671d156e48cdc532f9263/5eb1fb60/video/tos/useast2a/tos-useast2a-ve-0068c001/95fdf35c8ef849ea90dde2a2cec3d5d0/?a=1233&br=2466&bt=1233&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=Mzw8MzU2OGQ6dDMzaTczM0ApaTZkZWdpZmRkNzk4NTNnOWc0cGhoa3JyYmdfLS0zMTZzc2NeL2IvXjFjLzQzMC42Xy06Yw%3D%3D&vl=&vr=","",576,1024,59,59,952712,4951,3358625,7666,false,"[]","[]"
"6820189272973298950","eskimo bro’s lol","1587949059","6681493234424300549","nickaustinn","Nick Austin",1364,5185168,"200854353",441,7022,true,false,"🧸
instagram: nickaustin
snapchat: austinnick27
merch below!","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1660811080970245~c5_720x720.jpeg","6594419810140949254","Oh my gosh you guys are twins","kaygon__",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1609965773815813.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/d4f718d657b5125cdec337f52b2f1194","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/a75ab9460959463eb8664b57250ff0ec_1587949062","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/d0c7cbb17cff498d99d4349115c8b927_1587949062","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/a75ab9460959463eb8664b57250ff0ec_1587949062","https://www.tiktok.com/@nickaustinn/video/6820189272973298950","https://v16.muscdn.com/2ec2b11d399fb97dd89b7aab94730396/5eb1fb32/video/tos/useast2a/tos-useast2a-ve-0068c002/0ccfae86f76d4a9fadbe497fade7f850/?a=1233&br=2386&bt=1193&cr=0&cs=0&dr=0&ds=3&er=&l=202005051747490101880321681FDD0D48&lr=tiktok_m&qs=0&rc=amtrc3I1bnc1dDMzODczM0ApODM3O2dlaWU4Nzs8aTg3aWdmX3BxZDNlb2dfLS1iMTZzczQ2XzMvMzNiYl8zLjNiLS46Yw%3D%3D&vl=&vr=","",576,1024,13,13,874917,2947,3466455,7004,false,"[]","[]"
