"id","text","createTime","authorMeta.id","authorMeta.name","authorMeta.nickName","authorMeta.following","authorMeta.fans","authorMeta.heart","authorMeta.video","authorMeta.digg","authorMeta.verified","authorMeta.private","authorMeta.signature","authorMeta.avatar","musicMeta.musicId","musicMeta.musicName","musicMeta.musicAuthor","musicMeta.musicOriginal","musicMeta.playUrl","covers.default","covers.origin","covers.dynamic","imageUrl","webVideoUrl","videoUrl","videoUrlNoWaterMark","videoMeta.width","videoMeta.height","videoMeta.ratio","videoMeta.duration","diggCount","shareCount","playCount","commentCount","downloaded","mentions","hashtags"
"6823164254842146053","How’d we do?😝 @jameswrightt","1588641728","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6784390521251956737","Up & Down","Vengaboys","","https://sf16-sg.muscdn.com/obj/tiktok-obj/b49e61309d208b401cd0a1d000cf029f.m4a","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/94d5f8f207ce40b591bcecc727df153f","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/d26978b25cdf41b7a9de7e64546c9e62_1588641731","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/485cf79d16ce4049adae48072ea0857e_1588641730","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/d26978b25cdf41b7a9de7e64546c9e62_1588641731","https://www.tiktok.com/@jack.wright/video/6823164254842146053","https://v16.muscdn.com/d1e1485d90058b5003f8edeae0a50674/5eb1fbcc/video/tos/useast2a/tos-useast2a-pve-0068/860aaf1f44f843d7bef129db05250252/?a=1233&br=3370&bt=1685&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=M2g1ZzU0a2hldDMzaDczM0ApNjtnODs5OztlN2Q4aGhpO2dzb2ZhLW4vc2xfLS1fMTZzczY0XzUzYjEzM2MuLS8vM2I6Yw%3D%3D&vl=&vr=","",576,1024,15,15,111848,475,370566,942,false,"[""@jameswrightt""]","[]"
"6823157529414077702","This video is chaos","1588640162","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6750731641922063109","original sound","fire.soundz0",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1648142196334597.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/aa45ad236c8745be98e0233cd10a532a","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/ff7d3767e2ca48b09a51ab805748a7a5_1588640164","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/5f3ec005441e4b94a56fc6a06940a212_1588640164","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/ff7d3767e2ca48b09a51ab805748a7a5_1588640164","https://www.tiktok.com/@jack.wright/video/6823157529414077702","https://v16.muscdn.com/12e68bc49b857f835c46e7a1b1b595b7/5eb1fbc5/video/tos/useast2a/tos-useast2a-ve-0068c002/ce8d6ac4460d4b23ba099d5f33bb10ed/?a=1233&br=5768&bt=2884&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=Mzh3O3V3NTpldDMzaDczM0ApaWk2NDtpPGVpNzlpOTg1ZGdjZzVea2U1Z2xfLS00MTZzczYtXjE1M142YTFeMzJfLmM6Yw%3D%3D&vl=&vr=","",576,1024,8,8,73640,67,245893,838,false,"[]","[]"
"6822798145097846021","the baby knows what’s up #duet with @babygirlcorinne","1588556485","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6822236704871582470","original sound","babygirlcorinne",true,"https://p16.muscdn.com/obj/musically-maliva-obj/a9e0d6422e9a8fb15c1144b567c1ef72.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/bad1853c8834adb66025f4188ca7cf7f","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/d89478123d2b42ee8585f30f4983e9b0_1588556486","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/2f68f14a17d4491b87f99f05cb4c1db4_1588556488","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/d89478123d2b42ee8585f30f4983e9b0_1588556486","https://www.tiktok.com/@jack.wright/video/6822798145097846021","https://v16.muscdn.com/3e2ed091ef41b197acfc0b0287e026f0/5eb1fbc1/video/tos/useast2a/tos-useast2a-ve-0068c002/46b87343606a4167ab2858276e0bc9b0/?a=1233&br=1942&bt=971&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=MztxZHF2cWhxdDMzaDczM0ApOWdkNjc6Njw2NzQ8aTg7Z2c0cmQ2ajNvMmtfLS1jMTZzc2M1MmBjNS9fLi5hL2FeLWM6Yw%3D%3D&vl=&vr=","",648,576,4,4,326882,255,970897,1060,false,"[""@babygirlcorinne""]","[{""id"":""30496"",""name"":""duet"",""title"":""Use our Duet feature because two is always better than one."",""cover"":[]}]"
"6822390495591927045","i gagged at the end","1588461571","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6812747960078912262","original sound","notmeebruh",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1663287537496102.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/cb425955534098d879d951baf3af1595","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/dc2aa878363b4c5d801b76771290c298_1588461573","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/e392f8aeee5c468dbedd5af154770477_1588461573","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/dc2aa878363b4c5d801b76771290c298_1588461573","https://www.tiktok.com/@jack.wright/video/6822390495591927045","https://v16.muscdn.com/47f6f81a4c63dea3607c8031cb6ecf5e/5eb1fbc7/video/tos/useast2a/tos-useast2a-ve-0068c002/0a7ff63de18a432a814f4739ab504240/?a=1233&br=5164&bt=2582&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=amc8NTk8dDMzdDMzZzczM0ApNmQ6OGY7ZDw2N2gzN2ZmOGdva2RiZW4xLWtfLS1fMTZzcy1iNjE0XzA1LV5fLjA2Ni86Yw%3D%3D&vl=&vr=","",576,1024,10,10,145863,293,537220,1076,false,"[]","[]"
"6822384407316303109","this sound makes this dance 10x better @madi","1588460154","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6816442561897515781","original sound","tobeepaik",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1664174505397302.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/c2c14c289834987edae11af6d4ed5703","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/3395c4bfefa9414da0943f5b8fdfccac_1588460156","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/827569a7e1fe4c1089570ea8604978c7_1588460157","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/3395c4bfefa9414da0943f5b8fdfccac_1588460156","https://www.tiktok.com/@jack.wright/video/6822384407316303109","https://v16.muscdn.com/f9583c69dbe6e135fe28bfb6d5e4e5a2/5eb1fbc8/video/tos/useast2a/tos-useast2a-ve-0068c001/8a1f2844cef549f388bfc2063870f26e/?a=1233&br=4792&bt=2396&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=M3RuNTlwZHd5dDMzNjczM0ApZzo6ZTQ1PGRlNzM6NGY5N2dycDJmX2cyaGpfLS0xMTZzczE1MTE1MDYyYjQxLTMtYi46Yw%3D%3D&vl=&vr=","",576,1024,11,11,144793,234,537674,1008,false,"[""@madi""]","[]"
"6822381165656247557","jack without a shirt as usual","1588459399","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6813465229595249414","original sound","m_3dits",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1663445340249126.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/289f34510302420db68cf12554ae8777","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/c4a543ee43f84eed8692b00167e2c042_1588459401","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/0de7d92351d64de5a8cdc83902714e95_1588459402","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/c4a543ee43f84eed8692b00167e2c042_1588459401","https://www.tiktok.com/@jack.wright/video/6822381165656247557","https://v16.muscdn.com/4b4fe3e9ee2137fbe2dddd1176055cc4/5eb1fbc8/video/tos/useast2a/tos-useast2a-ve-0068c002/836fdab1723c4a209fecd9b23500a789/?a=1233&br=4464&bt=2232&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=amg0M3l1czN5dDMzODczM0ApN2hmNTVnOTs5NzM4aTxkaWdqXjJnZmM1Y2pfLS0zMTZzc14xMzRgXzNjYTI1MWI2MS46Yw%3D%3D&vl=&vr=","",576,1024,11,11,121451,248,475000,883,false,"[]","[]"
"6822055542282849542","draft for charli’s birthday. WAIT FOR THE END❤️🤪 @charlidamelio @jameswrightt","1588383584","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6744861937462512390","TOES","DaBaby","","https://sf16-sg.muscdn.com/obj/tiktok-obj/1c4ca212bfdfaea694e8ba8be1127acd.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/abbdf34a2ecd07f5f147dcc5130d3382","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/33d79bd64099469b882e1b5c5e0eeaf9_1588383586","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/4be69fea61b14031bc91f24fc9d136eb_1588383587","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/33d79bd64099469b882e1b5c5e0eeaf9_1588383586","https://www.tiktok.com/@jack.wright/video/6822055542282849542","https://v16.muscdn.com/5254cb3bc6a972167d04c1b2a583ff35/5eb1fbcc/video/tos/useast2a/tos-useast2a-ve-0068c003/d8528f772c1a4e7b929c7e2aaddf3c9c/?a=1233&br=4178&bt=2089&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=ajZ2ZXFuZXBmdDMzNDczM0ApPDM2NjU6aDs2NzZoaWc4OmcxMzVkLy1ocmpfLS1jMTZzc15jLjUzM15jLzRjNTNfMDY6Yw%3D%3D&vl=&vr=","",576,1024,15,15,923923,1564,3104825,2593,false,"[""@charlidamelio"",""@jameswrightt""]","[]"
"6822041618640653573","HAPPY BIRTHDAY CHARBURGER from the wright twins❤️ #duet with @charlidamelio @jameswrightt","1588380342","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6819430088405601030","after party girl","koofwip",true,"https://p16.muscdn.com/obj/musically-maliva-obj/5c337f5d3afcd141dd3e07db7bb7499b.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/520cea3af43e4cf9859a35c412b56977","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/26ace606f0554d41bac3795df3d7aa8c_1588380344","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/ec5bb88402f24a7a8fef7bb19742d7fa_1588380344","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/26ace606f0554d41bac3795df3d7aa8c_1588380344","https://www.tiktok.com/@jack.wright/video/6822041618640653573","https://v16.muscdn.com/7fd9648a313f14f3be86ab0feaf33b2d/5eb1fbc8/video/tos/useast2a/tos-useast2a-pve-0068/3be66031a0ad4efa9f1efc4c47182550/?a=1233&br=2938&bt=1469&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=ajxobTY8azdmdDMzNzczM0ApaGhlZzdlPDs7NzVoMzVmNmcwNmQxXmleMmpfLS0xMTZzc181NS82YF8yNjI2MTAyMWM6Yw%3D%3D&vl=&vr=","",648,576,11,11,513061,554,2017665,1995,false,"[""@charlidamelio"",""@jameswrightt""]","[{""id"":""30496"",""name"":""duet"",""title"":""Use our Duet feature because two is always better than one."",""cover"":[]}]"
"6821929966486179078","i think i broke my back at the end🥴","1588354346","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6694618934974466821","original sound","woah.carlos",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1634445213632534.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/4491f4d0cf8c40b0854fcb1587aacc65","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/5b8b049f45464cdb9fd197a95d273dcf_1588354349","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/44b70f7c30854ce6b7f8fbcdb18a0f18_1588354350","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/5b8b049f45464cdb9fd197a95d273dcf_1588354349","https://www.tiktok.com/@jack.wright/video/6821929966486179078","https://v16.muscdn.com/259bcdc3cc5aef1da09f5e3bb76ee51d/5eb1fbc7/video/tos/useast2a/tos-useast2a-ve-0068c004/682a7dc5da14433a97f22d88a7f0fa5d/?a=1233&br=4536&bt=2268&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=M2hxbHRucjc4dDMzNzczM0ApNjU0aGlnZTtoNztnOTM3ZWdtYW4uMi5tbmpfLS1hMTZzczFiLWAyMzY1NmMwMy80XzA6Yw%3D%3D&vl=&vr=","",576,1024,10,10,113176,297,442240,1185,false,"[]","[]"
"6821906225874144518","sunrise vibe after an all nighter🤪 also trynna match @hollykenyon5 ‘s mom’s energy","1588348818","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6773303974637439750","all jokes","aesthetic.aud1os",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1653639559218230.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/8900dcb625c98c2bab31ab0aee35332f","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/0a580e5125314ed891a75d0fab13fd79_1588348820","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/392bd6f423a54a629d7d56b78ac56abf_1588348821","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/0a580e5125314ed891a75d0fab13fd79_1588348820","https://www.tiktok.com/@jack.wright/video/6821906225874144518","https://v16.muscdn.com/506b5a0b5c1c9120dc15188c3bf7c7b3/5eb1fbcc/video/tos/useast2a/tos-useast2a-ve-0068c001/dc6125f4b91f44aab27f84b34d1e5238/?a=1233&br=3208&bt=1604&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=MzNkeGh4OzY3dDMzNzczM0ApPDkzZjQ4ZmVpN2dnaGU3N2c0Ni1uLzEwY2pfLS0uMTZzc2M0XzVgYmIzYGBiMjAzMy46Yw%3D%3D&vl=&vr=","",576,1024,15,15,87027,275,359475,1346,false,"[""@hollykenyon5""]","[{""id"":""137490"",""name"":""vibewithme"",""title"":""Catch these vibes and #VibeWithMe."",""cover"":[""https://p16-va-default.akamaized.net/obj/musically-maliva-obj/e48c63cceb1eabf31f2a01f4cd386cc6""]}]"
"6820584189495135493","HOLD UPPPPPP @jameswrightt","1588041008","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6816393180611644165","Kat Pacher x African Honey Mashup DJ Yames","dj_yames",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1664160289160214.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/1459803a9fa28708ba6425a9ffad5f1a","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/2a2415a8829c439da7bb49bd5c922720_1588041010","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/c3a05c149faa44f2aa351793e7ff8861_1588041010","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/2a2415a8829c439da7bb49bd5c922720_1588041010","https://www.tiktok.com/@jack.wright/video/6820584189495135493","https://v16.muscdn.com/6a12f8a46b6ed82df1c5f9a18ff6fd52/5eb1fbcc/video/tos/useast2a/tos-useast2a-pve-0068/17e4b0f77adc48e9b8dee597d55e8d55/?a=1233&br=4388&bt=2194&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=M2hwNHRucjtzdDMzNTczM0ApNzs6OzlpaWRoNzgzM2k0ZWcwcGBxMi42XmdfLS0wMTZzc15iLzQtYGJiNTVfNDQuYDM6Yw%3D%3D&vl=&vr=","",576,1024,15,15,231555,1077,831594,1882,false,"[""@jameswrightt""]","[]"
"6820547573884013829","i like ur shoes😘","1588032483","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6816713147941636870","Skechers by DripReport","goalsounds",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1664237473207317.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/4d96992a6a3965803db246ab37c57605","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/29e463aa2a5c41658b0c2609a72dd7a2_1588032485","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/9ec248599b9849efa6da0a582f7039ea_1588032484","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/29e463aa2a5c41658b0c2609a72dd7a2_1588032485","https://www.tiktok.com/@jack.wright/video/6820547573884013829","https://v16.muscdn.com/dc83fc2ead73e74ec6d8ab931284a1c9/5eb1fbca/video/tos/useast2a/tos-useast2a-ve-0068c003/560b2111209046aa90b75374324882e8/?a=1233&br=2414&bt=1207&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=anlleHBrN25xdDMzODczM0ApMzM5PDdmNDxpN2dlOTszOmdvZWQtMHJtNGdfLS0xMTZzczU1MDVjL14uMy1hNi5eYy06Yw%3D%3D&vl=&vr=","",576,1024,13,13,246876,680,1033265,2137,false,"[]","[]"
"6820179309102255366","i’m 2 minutes older🙈 @jameswrightt","1587946739","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6594419810140949254","Oh my gosh you guys are twins","kaygon__",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1609965773815813.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/7132c913e6ad0a72cb16c94eb7ca81aa","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/25f96e70d6fa4d6699e83fd699a62a0b_1587946741","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/cbdd90fa48444bd390602cfa96e24225_1587946742","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/25f96e70d6fa4d6699e83fd699a62a0b_1587946741","https://www.tiktok.com/@jack.wright/video/6820179309102255366","https://v16.muscdn.com/820460cb90575485c12468c65e387af0/5eb1fbca/video/tos/useast2a/tos-useast2a-pve-0068/3c2ca24ebf8e4bed88caa6c08ec96360/?a=1233&br=3340&bt=1670&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=MzM6eWkzaXU1dDMzNTczM0ApN2RlNmVpOzw3N2Y2Zjo8OWdvc2JvYTZjNmdfLS1gMTZzczQxLzI2LS8yY2MuYi5iNTA6Yw%3D%3D&vl=&vr=","",576,1024,13,13,378844,621,1550766,2343,false,"[""@jameswrightt""]","[]"
"6820168406684290309","@jameswrightt vibin in the back","1587944201","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6796638854863506182","Party Girl","StaySolidRocky","","https://sf16-sg.muscdn.com/obj/tiktok-obj/301149a889cfdc9f00e9470231e7e27b.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/92393af9b8322b73d0e70b8d790b65dd","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/d41c2c3e7fe54c9daf6dc2fe87c1bf44_1587944202","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/1b2bc3a155c84080b712217ae4dc3d65_1587944205","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/d41c2c3e7fe54c9daf6dc2fe87c1bf44_1587944202","https://www.tiktok.com/@jack.wright/video/6820168406684290309","https://v16.muscdn.com/469a9637b45e5a75f4ec16e9f432ee57/5eb1fbc5/video/tos/useast2a/tos-useast2a-ve-0068c002/5d4bef542836489fbd115c2bd234fecd/?a=1233&br=3744&bt=1872&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=ajZodWczank0dDMzOTczM0ApNzVlNTg7Ozw0NzhlM2k1ZWcxYV9xNjVpaWdfLS00MTZzc2MvMS4vMDVfYC80Yy4tMl46Yw%3D%3D&vl=&vr=","",576,1024,8,8,198965,1020,822381,1439,false,"[""@jameswrightt""]","[]"
"6819028817680534789","call me ross lynch already😤","1587678869","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6801521358515014406","original sound","immadsal",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1660527684350982.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/0f8dc703aea640b3a0f549c43fcc47e4","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/08004db55dec43fca91d6136e92cc123_1587678872","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/9a9dbdc11307426a90e75f57c95bd78b_1587678871","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/08004db55dec43fca91d6136e92cc123_1587678872","https://www.tiktok.com/@jack.wright/video/6819028817680534789","https://v16.muscdn.com/d85b8bc184990e386a5b12dd990f1d05/5eb1fbc8/video/tos/useast2a/tos-useast2a-pve-0068/8fbc1fdd6573477aaae7c9ded9381bfb/?a=1233&br=1706&bt=853&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=M3V0bXV1dzczdDMzPDczM0ApNTs5NjxkNWU1N2lpM2lpZGc0a3A0ay1ocWVfLS02MTZzc2IzYzEtNC0vLS1gNDE0XzI6Yw%3D%3D&vl=&vr=","",576,1024,11,11,404929,1276,1493585,2408,false,"[]","[]"
"6818967345432726789","at least i have a shirt on😎 dc @hailey_litten","1587664557","9881080","jack.wright","jack wright",549,2571822,"53058638",162,16480,true,false,"FOLLOW ME ON INSTA🙈 following some back
snapchat: jack.wright21
GOOD VIBES🤙","https://p16-va-default.akamaized.net/img/musically-maliva-obj/1655119426812934~c5_720x720.jpeg","6610159263947492101","original sound","audio_bbys",true,"https://p16.muscdn.com/obj/musically-maliva-obj/1613808413973509.mp3","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/120f7038528a2fd6a0fd1a850ea173dc","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/429a05656da1475e892a321b6c6b580a_1587664559","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/28b805abc0154ee180420b8224796f76_1587664559","https://p16-va-default.akamaized.net/obj/tos-maliva-p-0068/429a05656da1475e892a321b6c6b580a_1587664559","https://www.tiktok.com/@jack.wright/video/6818967345432726789","https://v16.muscdn.com/a2a9ac3045ee316a9cd0a728e254ba7f/5eb1fbc7/video/tos/useast2a/tos-useast2a-ve-0068c001/b055f4ba5dc641b49acc4ee9fa39acfa/?a=1233&br=3844&bt=1922&cr=0&cs=0&dr=0&ds=3&er=&l=202005051750210101890720323DDAD218&lr=tiktok_m&qs=0&rc=MzhzaGo1bTx3dDMzODczM0ApMzY1aDhpPDs3NzpoNDdnOmdxLWQtcGBoYWRfLS0xMTZzczUxYjAuYmJiYTNgYzFhM186Yw%3D%3D&vl=&vr=","",576,1024,10,10,474466,2679,2070387,3855,false,"[""@hailey_litten""]","[]"
