text,createTime,authorMeta.name,authorMeta.heart,authorMeta.video,musicMeta.musicName,musicMeta.musicAuthor,videoMeta.duration,diggCount,shareCount,playCount,commentCount,mentions,hashtags,dates,Engagement Rates,Hypehouse?
I like butterflies,1588638603,k0uvr,152926666,380,Hot Girl,Megan Thee Stallion,15,416965,681,1264647,5714,[],[],2020-05-04,33.476535349389984,1
How’s your day goin #QuarantineDance,1588554694,k0uvr,152926666,380,original sound,toniromitimusic,14,282984,817,1103333,4812,[],"[{""id"":""1661166467799045"",""name"":""quarantinedance"",""title"":"""",""cover"":[]}]",2020-05-03,26.15828584842473,1
@nourkhodr mashup is insane.... also sign up for the email list in my bio for a chance to win free merch!!!!,1588464755,k0uvr,152926666,380,Nour Khodr Mashup,nourkhodr,29,281552,1316,1221422,5114,"[""@nourkhodr""]",[],2020-05-02,23.577600534459016,1
This is my favorite video ever @alexwaarren,1588374616,k0uvr,152926666,380,Come See Me,Teenear,14,1182341,1303,4564395,7512,"[""@alexwaarren""]",[],2020-05-01,26.096689703673764,1
Merch drops soon!,1588299623,k0uvr,152926666,380,rockstar shplash,koofwip,13,558016,2885,2665618,6099,[],[],2020-04-30,21.270864767569847,1
We can’t do anything together,1588299220,k0uvr,152926666,380,original sound,banana4diana,15,725142,2042,3442778,5287,[],[],2020-04-30,21.275580359814082,1
life is great,1588298514,k0uvr,152926666,380,Mariposa,Peach Tree Rascals,15,851973,868,3697778,3918,[],[],2020-04-30,23.169562910483,1
I like @charlidamelio dance,1588194519,k0uvr,152926666,380,Hot Girl,Megan Thee Stallion,15,379056,607,1782549,6386,"[""@charlidamelio""]",[],2020-04-29,21.65713256690279,1
I tried to make an aesthetic morning routine 😂 #MadelineLauer,1588189525,k0uvr,152926666,380,Silky,Madeline Lauer,15,679249,486,2774118,9144,[],"[{""id"":""1659934502443013"",""name"":""madelinelauer"",""title"":"""",""cover"":[]}]",2020-04-29,24.832361132439214,1
It’s too hot I’m about to loose my mind,1588124453,k0uvr,152926666,380,Come See Me by Teenear,teenearr,15,493409,1723,2086396,6468,[],[],2020-04-28,24.041457134695428,1
I’m @miahaywarddd number one fan,1588042175,k0uvr,152926666,380,Number One Fan,MUNA,13,948362,662,4387072,6651,"[""@miahaywarddd""]",[],2020-04-27,21.783891397269066,1
Who likes the merch? #sudachallenge,1588041671,k0uvr,152926666,380,Suda,"Melanie Pfirrman, Pitbull and IAmChino",15,428403,1425,2029534,7940,[],"[{""id"":""1623803578512389"",""name"":""sudachallenge"",""title"":"""",""cover"":[]}]",2020-04-27,21.569877617226417,1
You can see me mouthing the words for him hahaha @alexwaarren,1588040126,k0uvr,152926666,380,original sound,drippyy.søundzz_,10,1496000,6832,6474974,10650,"[""@alexwaarren""]",[],2020-04-27,23.37433324056591,1
@miahaywarddd really tried,1587780979,k0uvr,152926666,380,original sound,audio_bbys,10,2302755,7267,12480948,13931,"[""@miahaywarddd""]",[],2020-04-24,18.620003865091018,1
Yellow is one of my favorite colors by far,1587778536,k0uvr,152926666,380,original sound,audio_bbys,10,659797,1563,3156144,11622,[],[],2020-04-24,21.322918092457126,1
Decided not to straighten my hair today,1587777379,k0uvr,152926666,380,original sound,avalomuscioo,11,1248235,8065,5541519,11610,[],[],2020-04-24,22.88018862698116,1
It’s so hot out here but ummm..... merch??????????,1587680895,k0uvr,152926666,380,Kat Pacher x African Honey Mashup DJ Yames,dj_yames,18,845196,4348,3889970,11431,[],[],2020-04-23,22.133204112113976,1
My love @alexwaarren  ❤️and my girls @madi @miahaywarddd do this dance and tag your loves ❤️,1587678916,k0uvr,152926666,380,My Love,"Jack Gilinsky, Don Toliver",15,419142,1037,2324971,4520,"[""@alexwaarren"",""@madi"",""@miahaywarddd""]",[],2020-04-23,18.26685150051334,1
